layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
3,4,linear,1,0.1,16,184.14301304129714,65497.95103191643,-1.0684382915496826,0.8115219927929405
3,4,linear,1,0.1,32,184.0739001450895,65505.18650189577,-1.068666696548462,0.8115927327071755
3,4,linear,1,0.1,64,185.05867127479794,65910.94639594812,-1.0814807415008545,0.810584778633779
3,4,linear,1,0.1,128,184.20805853173155,65593.30020442438,-1.0714492797851562,0.8114554160371222
3,4,linear,1,0.1,256,184.5318090178424,65679.19378958024,-1.0741620063781738,0.81112404399402
3,4,linear,1,0.1,512,185.20191448176723,65920.35181351774,-1.081777572631836,0.8104381632735238
3,4,linear,1,0.01,16,185.35554485393837,65984.55261361678,-1.0838050842285156,0.8102809162191009
3,4,linear,1,0.01,32,184.53859315954054,65709.25166250698,-1.0751111507415771,0.811117100143766
3,4,linear,1,0.01,64,185.34315290055542,66006.822593205,-1.0845084190368652,0.8102935998970774
3,4,linear,1,0.01,128,184.69601410230402,65782.26013193415,-1.0774166584014893,0.8109559732832098
3,4,linear,1,0.01,256,185.3210625567777,66015.14102250771,-1.0847713947296143,0.8103162102796544
3,4,linear,1,0.01,512,184.74925874768445,65801.40485817064,-1.0780212879180908,0.8109014751814898
3,4,linear,1,0.001,16,185.2997169180937,65984.33602650138,-1.0837981700897217,0.8103380584256974
3,4,linear,1,0.001,32,185.10113087264682,65924.69197051293,-1.0819146633148193,0.8105413194752847
3,4,linear,1,0.001,64,184.52511684335897,65709.45950665376,-1.075117588043213,0.8111308937120174
3,4,linear,1,0.001,128,185.4390748219931,66046.13446326637,-1.085749864578247,0.8101954198341934
3,4,linear,1,0.001,256,185.3756255476432,66029.05651178937,-1.0852105617523193,0.8102603627966805
3,4,linear,1,0.001,512,185.3885171551116,66047.84928983157,-1.0858039855957031,0.8102471677020352
3,4,linear,1,0.0001,16,184.6463477343784,65760.30615064657,-1.076723337173462,0.811006808869623
3,4,linear,1,0.0001,32,185.12081038060848,65935.14484710724,-1.082244873046875,0.8105211766831029
3,4,linear,1,0.0001,64,185.44500841043882,66035.18113624265,-1.0854041576385498,0.8101893465604516
3,4,linear,1,0.0001,128,184.78446080461487,65815.1624189327,-1.078455924987793,0.8108654444169756
3,4,linear,1,0.0001,256,185.1809467736276,65956.97687255901,-1.0829343795776367,0.8104596245919882
3,4,linear,1,0.0001,512,185.02726099063548,65910.18429258648,-1.0814566612243652,0.8106169283616832
3,4,linear,10,0.1,16,161.02333225927157,42156.92941325025,-0.3313242197036743,0.8351859444633863
3,4,linear,10,0.1,32,160.96059532951395,46835.405446979785,-0.47907137870788574,0.8352501583116541
3,4,linear,10,0.1,64,160.15681709109091,41733.29233663254,-0.31794559955596924,0.8360728586580441
3,4,linear,10,0.1,128,153.43518470911903,40586.062640811986,-0.28171586990356445,0.8429527280357021
3,4,linear,10,0.1,256,158.23615832697124,41478.04317750006,-0.30988478660583496,0.838038732521012
3,4,linear,10,0.1,512,154.9532428779591,41551.09398886099,-0.31219160556793213,0.8413989325711779
3,4,linear,10,0.01,16,184.58044799686473,65730.32805676256,-1.0757768154144287,0.8110742599827383
3,4,linear,10,0.01,32,184.45618258252037,65613.57488737219,-1.072089433670044,0.8112014507855472
3,4,linear,10,0.01,64,184.74033287656468,65762.74276087842,-1.0768003463745117,0.8109106111805888
3,4,linear,10,0.01,128,184.82461201068296,65799.75528193974,-1.0779690742492676,0.8108243479931597
