layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
2,4,linear,1,0.1,16,184.84523529630323,65811.22449078198,-1.078331470489502,0.8108032392054214
2,4,linear,1,0.1,32,185.14530561312228,65862.5426886159,-1.0799522399902344,0.8104961047972137
2,4,linear,1,0.1,64,184.6566289580889,65656.59599671124,-1.0734481811523438,0.8109962856109633
2,4,linear,1,0.1,128,184.26173266915066,65595.8237082077,-1.0715291500091553,0.8114004783324967
2,4,linear,1,0.1,256,184.78936531034088,65737.07326704173,-1.0759897232055664,0.8108604244520564
2,4,linear,1,0.1,512,184.92182038369495,65865.77942329514,-1.0800542831420898,0.8107248511937616
2,4,linear,1,0.01,16,185.56871932184686,66085.51888716446,-1.08699369430542,0.810062723314384
2,4,linear,1,0.01,32,184.92129669414985,65868.2264426458,-1.0801315307617188,0.8107253872117197
2,4,linear,1,0.01,64,184.48943722899682,65646.68904558764,-1.0731353759765625,0.8111674132763594
2,4,linear,1,0.01,128,184.80447901998699,65786.65937680102,-1.0775556564331055,0.8108449549437186
2,4,linear,1,0.01,256,184.66045038796472,65728.13630931808,-1.0757076740264893,0.810992374219074
2,4,linear,1,0.01,512,185.61356925623122,66117.38026135803,-1.0880000591278076,0.810016817547358
2,4,linear,1,0.001,16,185.654446115175,66165.04772975274,-1.0895051956176758,0.809974978387743
2,4,linear,1,0.001,32,185.4613391985416,66060.85950757063,-1.0862150192260742,0.8101726313218612
2,4,linear,1,0.001,64,184.80970493763667,65821.3921254608,-1.0786526203155518,0.8108396060003719
2,4,linear,1,0.001,128,185.6037239824455,66112.72271469489,-1.087852954864502,0.8100268945931981
2,4,linear,1,0.001,256,184.91612727045575,65854.21404555964,-1.0796890258789062,0.810730678331161
2,4,linear,1,0.001,512,184.9979047296918,65874.87178711206,-1.0803415775299072,0.8106469757116768
2,4,linear,1,0.0001,16,184.91304104883326,65855.90303810549,-1.079742431640625,0.810733837206926
2,4,linear,1,0.0001,32,185.1276870323511,65942.77726968285,-1.0824859142303467,0.8105141381449835
2,4,linear,1,0.0001,64,185.4266184781034,66038.14109199523,-1.0854976177215576,0.8102081694185226
2,4,linear,1,0.0001,128,185.0250900288823,65897.88592495803,-1.0810682773590088,0.8106191504310314
2,4,linear,1,0.0001,256,185.11808508126467,65957.00239516622,-1.082935094833374,0.8105239661399543
2,4,linear,1,0.0001,512,185.21725976570875,66005.90517966365,-1.084479570388794,0.810422456739295
2,4,linear,10,0.1,16,166.77091068146865,49507.44131057858,-0.5634548664093018,0.8293030596914344
2,4,linear,10,0.1,32,166.55805451494092,49609.87304992932,-0.5666894912719727,0.8295209268014934
2,4,linear,10,0.1,64,170.10115705738306,51562.69029945466,-0.6283599138259888,0.8258944144755547
2,4,linear,10,0.1,128,170.10625626946722,52045.45724006527,-0.6436058282852173,0.8258891952206067
2,4,linear,10,0.1,256,168.559300949199,50908.953332604164,-0.6077147722244263,0.8274725681175036
2,4,linear,10,0.1,512,177.6928785615381,59160.82893364514,-0.8683106899261475,0.8181239728131647
2,4,linear,10,0.01,16,184.83596183441716,65759.60470270592,-1.0767014026641846,0.8108127309780786
2,4,linear,10,0.01,32,183.98640831547465,65402.365216342056,-1.0654196739196777,0.8116822842216227
2,4,linear,10,0.01,64,185.19564163703708,65875.73405923869,-1.0803687572479248,0.8104445837901361
2,4,linear,10,0.01,128,184.3190187945816,65537.73442211282,-1.0696945190429688,0.8113418436084119
2,4,linear,10,0.01,256,184.47522103430657,65606.86154207624,-1.0718774795532227,0.8111819641409349
2,4,linear,10,0.01,512,185.0289102249079,65792.7002188968,-1.0777463912963867,0.810615240302039
2,4,linear,10,0.001,16,184.5462595682218,65701.4331198036,-1.074864149093628,0.8111092532566819
2,4,linear,10,0.001,32,184.64895375287728,65745.31177702651,-1.0762498378753662,0.8110041415016609
2,4,linear,10,0.001,64,185.43265659538483,66037.5529200569,-1.0854790210723877,0.8102019891551844
2,4,linear,10,0.001,128,184.49422797821333,65713.55604219885,-1.075247049331665,0.8111625097459434
2,4,linear,10,0.001,256,184.94173179603726,65831.89466172927,-1.078984260559082,0.8107044710378328
2,4,linear,10,0.001,512,185.3537564538505,66014.96191483372,-1.0847654342651367,0.8102827467207262
2,4,linear,10,0.0001,16,184.73519005021134,65802.25956348472,-1.0780484676361084,0.8109158750765493
2,4,linear,10,0.0001,32,185.26113930549494,65982.2440147733,-1.0837323665618896,0.8103775442113665
2,4,linear,10,0.0001,64,184.8721954182725,65799.05056584202,-1.0779471397399902,0.8107756444029964
2,4,linear,10,0.0001,128,184.99575743493511,65878.7620943482,-1.0804643630981445,0.8106491735568729
2,4,linear,10,0.0001,256,184.81021925111241,65859.7665601677,-1.079864501953125,0.8108390795792094
2,4,linear,10,0.0001,512,185.16862598386078,65938.08162790489,-1.0823376178741455,0.8104722354310534
2,4,linear,25,0.1,16,113.53921282730388,25580.644670206457,0.19215822219848633,0.8837879090815722
2,4,linear,25,0.1,32,117.16119541346136,26777.807340790452,0.15435153245925903,0.8800806597610427
2,4,linear,25,0.1,64,114.74003770174104,25910.89176021171,0.18172889947891235,0.8825588150442774
2,4,linear,25,0.1,128,104.73935398644628,21983.96006334551,0.3057422637939453,0.8927949293895125
2,4,linear,25,0.1,256,111.3835556525287,24623.53187516883,0.2223840355873108,0.885994313559336
2,4,linear,25,0.1,512,113.26852623104912,25512.328765615155,0.1943156123161316,0.8840649680337266
2,4,linear,25,0.01,16,184.07466376155736,65043.33841550154,-1.054081678390503,0.8115919511140661
2,4,linear,25,0.01,32,184.03266853718054,65097.28811117469,-1.0557851791381836,0.8116349349670618
2,4,linear,25,0.01,64,182.03201200333783,63842.00859433474,-1.0161430835723877,0.8136826898635232
2,4,linear,25,0.01,128,183.3998804914329,64564.921194518785,-1.0389728546142578,0.8122826197631188
2,4,linear,25,0.01,256,184.12815894287667,65162.85272635948,-1.0578558444976807,0.8115371965784272
2,4,linear,25,0.01,512,183.48200512937214,64727.68743455252,-1.0441131591796875,0.8121985617918401
2,4,linear,25,0.001,16,184.6848902560479,65726.98554372975,-1.0756711959838867,0.8109673590009745
2,4,linear,25,0.001,32,184.83392833274445,65811.26892950214,-1.0783329010009766,0.8108148123513363
2,4,linear,25,0.001,64,184.44684539688163,65672.3509464255,-1.0739457607269287,0.8112110077821069
2,4,linear,25,0.001,128,184.88482733697592,65806.13187649437,-1.0781705379486084,0.8107627151105672
2,4,linear,25,0.001,256,185.41745531452676,66021.95360745507,-1.0849864482879639,0.8102175482962879
2,4,linear,25,0.001,512,184.69487637118087,65748.86076837189,-1.076361894607544,0.8109571377981772
2,4,linear,25,0.0001,16,184.536463191019,65728.49837373804,-1.075718879699707,0.8111192802548424
2,4,linear,25,0.0001,32,185.10983323365647,65942.79802404149,-1.082486629486084,0.8105324122480486
2,4,linear,25,0.0001,64,185.19563260737493,65933.07510540093,-1.0821795463562012,0.8104445930323696
2,4,linear,25,0.0001,128,185.38187039330583,66035.42727197234,-1.085411787033081,0.8102539709382744
2,4,linear,25,0.0001,256,184.9510374733936,65896.52251833784,-1.0810253620147705,0.8106949462913065
2,4,linear,25,0.0001,512,185.31515819488857,65984.44343004143,-1.0838017463684082,0.810322253638804
2,4,linear,50,0.1,16,104.13934781969074,19802.525722630657,0.3746322989463806,0.8934090605734998
2,4,linear,50,0.1,32,105.24792877796467,19801.52126421217,0.37466394901275635,0.8922743820082245
2,4,linear,50,0.1,64,105.17345178885208,19824.370071058496,0.37394243478775024,0.8923506122939078
2,4,linear,50,0.1,128,103.88409476416021,19847.560794600686,0.3732101321220398,0.8936703226569497
