layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,linear,10,0.01,32,184.4427449386717,65594.18011160077,-1.0714771747589111,0.8112152047710628
1,4,linear,10,0.01,64,184.9972066183851,65728.25916318572,-1.0757112503051758,0.8106476902575384
1,4,linear,10,0.01,128,184.56737809544654,65621.56224145183,-1.0723419189453125,0.811087637568632
1,4,linear,10,0.01,256,184.88915500118128,65666.07838267928,-1.0737478733062744,0.8107582855668565
1,4,linear,10,0.01,512,184.59629207535488,65596.46777590211,-1.071549415588379,0.8110580429116122
1,4,linear,10,0.001,16,185.51364489748937,66072.23498476918,-1.0865740776062012,0.8101190942707376
1,4,linear,10,0.001,32,185.16289565964763,66002.0930115301,-1.0843589305877686,0.8104781006554271
1,4,linear,10,0.001,64,185.2435753034863,65995.19316223283,-1.0841412544250488,0.8103955216955104
1,4,linear,10,0.001,128,185.1844968181875,65958.57231674687,-1.0829846858978271,0.8104559909742195
1,4,linear,10,0.001,256,184.59496916157073,65771.90103998016,-1.077089786529541,0.8110593969687097
1,4,linear,10,0.001,512,184.81369184405983,65822.96053067262,-1.0787019729614258,0.8108355252363768
1,4,linear,10,0.0001,16,184.69822669435632,65745.55894069273,-1.0762577056884766,0.8109537086035248
1,4,linear,10,0.0001,32,185.5532251432521,66013.57193383192,-1.084721565246582,0.8100785822484625
1,4,linear,10,0.0001,64,185.1167985321879,65967.03109143821,-1.083251953125,0.8105252829762662
1,4,linear,10,0.0001,128,185.15906964363776,65966.47879724685,-1.0832345485687256,0.8104820167414147
1,4,linear,10,0.0001,256,185.44829481839704,66044.37774290176,-1.0856945514678955,0.8101859827856734
1,4,linear,10,0.0001,512,185.0375778048655,65899.10429755213,-1.0811069011688232,0.8106063686746515
1,4,linear,25,0.1,16,163.46926082596954,45092.96687898671,-0.4240448474884033,0.8326824351832451
1,4,linear,25,0.1,32,162.7057643920972,44511.21188449871,-0.40567290782928467,0.8334639054328585
1,4,linear,25,0.1,64,160.44017125242598,43478.162002968806,-0.3730487823486328,0.8357828339279161
1,4,linear,25,0.1,128,164.28211810464688,45886.44881339049,-0.4491032361984253,0.8318504420627975
1,4,linear,25,0.1,256,162.19003049399964,44660.85331285112,-0.4103984832763672,0.8339917804564998
1,4,linear,25,0.1,512,162.26927509224868,44680.60749631165,-0.411022424697876,0.8339106703252317
1,4,linear,25,0.01,16,184.0233308837435,65110.68006681415,-1.0562081336975098,0.8116444924424324
1,4,linear,25,0.01,32,184.38834471494104,65207.23490378667,-1.0592572689056396,0.8112708856551268
1,4,linear,25,0.01,64,184.24050876935055,65260.224660570886,-1.0609307289123535,0.8114222018737456
1,4,linear,25,0.01,128,184.21974234788394,65249.409938090124,-1.06058931350708,0.811443457166956
