hidden_layers,activation,epochs,learning_rate,batch_size,accuracy
[4],linear,50,0.1,16,0.8565853658536585
[4],linear,50,0.1,32,0.8507317073170731
[4],linear,50,0.1,64,0.8419512195121951
[4],linear,50,0.1,128,0.8536585365853658
[4],linear,50,0.1,256,0.8107317073170732
[4],linear,50,0.1,512,0.76
[4],linear,50,0.01,16,0.8595121951219512
[4],linear,50,0.01,32,0.8565853658536585
[4],linear,50,0.01,64,0.8624390243902439
[4],linear,50,0.01,128,0.8497560975609756
[4],linear,50,0.01,256,0.8478048780487805
[4],linear,50,0.01,512,0.8565853658536585
[4],linear,50,0.001,16,0.855609756097561
[4],linear,50,0.001,32,0.8536585365853658
[4],linear,50,0.001,64,0.8507317073170731
[4],linear,50,0.001,128,0.8380487804878048
[4],linear,50,0.001,256,0.8019512195121952
[4],linear,50,0.001,512,0.7404878048780488
[4],linear,50,0.0001,16,0.8370731707317073
[4],linear,50,0.0001,32,0.7775609756097561
[4],linear,50,0.0001,64,0.6926829268292682
[4],linear,50,0.0001,128,0.5287804878048781
[4],linear,50,0.0001,256,0.7248780487804878
[4],linear,50,0.0001,512,0.5209756097560976
[4],linear,100,10.0,16,0.2760975609756098
[4],linear,100,10.0,32,0.25853658536585367
[4],linear,100,10.0,64,0.2302439024390244
[4],linear,100,10.0,128,0.8087804878048781
[4],linear,100,10.0,256,0.7726829268292683
[4],linear,100,10.0,512,0.7921951219512195
[4],linear,100,1.0,16,0.8390243902439024
[4],linear,100,1.0,32,0.8390243902439024
[4],linear,100,1.0,64,0.8585365853658536
[4],linear,100,1.0,128,0.8868292682926829
[4],linear,100,1.0,256,0.864390243902439
[4],linear,100,1.0,512,0.8458536585365853
[4],linear,100,0.1,16,0.8468292682926829
[4],linear,100,0.1,32,0.8302439024390244
[4],linear,100,0.1,64,0.8360975609756097
[4],linear,100,0.1,128,0.8575609756097561
[4],linear,100,0.1,256,0.8546341463414634
[4],linear,100,0.1,512,0.7004878048780487
[4],linear,100,0.01,16,0.8468292682926829
[4],linear,100,0.01,32,0.8575609756097561
[4],linear,100,0.01,64,0.8526829268292683
[4],linear,100,0.01,128,0.8429268292682927
[4],linear,100,0.01,256,0.84
[4],linear,100,0.01,512,0.8370731707317073
[4],linear,100,0.001,16,0.8565853658536585
[4],linear,100,0.001,32,0.8526829268292683
[4],linear,100,0.001,64,0.8546341463414634
[4],linear,100,0.001,128,0.8536585365853658
[4],linear,100,0.001,256,0.8351219512195122
[4],linear,100,0.001,512,0.8126829268292682
[4],linear,100,0.0001,16,0.8478048780487805
[4],linear,100,0.0001,32,0.8390243902439024
[4],linear,100,0.0001,64,0.8029268292682927
[4],linear,100,0.0001,128,0.7541463414634146
[4],linear,100,0.0001,256,0.5434146341463415
[4],linear,100,0.0001,512,0.5248780487804878
[4],linear,250,10.0,16,0.76
[4],linear,250,10.0,32,0.728780487804878
[4],linear,250,10.0,64,0.6858536585365854
[4],linear,250,10.0,128,0.5804878048780487
[4],linear,250,10.0,256,0.7873170731707317
[4],linear,250,10.0,512,0.6546341463414634
[4],linear,250,1.0,16,0.8146341463414634
[4],linear,250,1.0,32,0.8234146341463414
[4],linear,250,1.0,64,0.8312195121951219
[4],linear,250,1.0,128,0.8751219512195122
[4],linear,250,1.0,256,0.8887804878048781
[4],linear,250,1.0,512,0.8702439024390244
[4],linear,250,0.1,16,0.8458536585365853
[4],linear,250,0.1,32,0.8478048780487805
[4],linear,250,0.1,64,0.8312195121951219
[4],linear,250,0.1,128,0.8419512195121951
[4],linear,250,0.1,256,0.824390243902439
[4],linear,250,0.1,512,0.8273170731707317
[4],linear,250,0.01,16,0.8575609756097561
[4],linear,250,0.01,32,0.8595121951219512
[4],linear,250,0.01,64,0.8419512195121951
[4],linear,250,0.01,128,0.8478048780487805
[4],linear,250,0.01,256,0.8273170731707317
[4],linear,250,0.01,512,0.8653658536585366
[4],linear,250,0.001,16,0.8497560975609756
[4],linear,250,0.001,32,0.855609756097561
[4],linear,250,0.001,64,0.8585365853658536
[4],linear,250,0.001,128,0.8546341463414634
[4],linear,250,0.001,256,0.8439024390243902
[4],linear,250,0.001,512,0.8312195121951219
[4],linear,250,0.0001,16,0.8595121951219512
[4],linear,250,0.0001,32,0.8478048780487805
[4],linear,250,0.0001,64,0.8507317073170731
[4],linear,250,0.0001,128,0.8117073170731708
[4],linear,250,0.0001,256,0.7590243902439024
[4],linear,250,0.0001,512,0.4770731707317073
[4],sigmoid,1,10.0,16,0.5131707317073171
[4],sigmoid,1,10.0,32,0.7463414634146341
[4],sigmoid,1,10.0,64,0.7502439024390244
[4],sigmoid,1,10.0,128,0.5131707317073171
[4],sigmoid,1,10.0,256,0.3775609756097561
[4],sigmoid,1,10.0,512,0.5131707317073171
[4],sigmoid,1,1.0,16,0.8517073170731707
[4],sigmoid,1,1.0,32,0.8341463414634146
[4],sigmoid,1,1.0,64,0.8126829268292682
[4],sigmoid,1,1.0,128,0.8692682926829268
[4],sigmoid,1,1.0,256,0.8234146341463414
[4],sigmoid,1,1.0,512,0.551219512195122
[4],sigmoid,1,0.1,16,0.8526829268292683
[4],sigmoid,1,0.1,32,0.8565853658536585
[4],sigmoid,1,0.1,64,0.8673170731707317
[4],sigmoid,1,0.1,128,0.8351219512195122
[4],sigmoid,1,0.1,256,0.7658536585365854
[4],sigmoid,1,0.1,512,0.4868292682926829
[4],sigmoid,1,0.01,16,0.8282926829268292
[4],sigmoid,1,0.01,32,0.8058536585365854
[4],sigmoid,1,0.01,64,0.4926829268292683
[4],sigmoid,1,0.01,128,0.7570731707317073
[4],sigmoid,1,0.01,256,0.5131707317073171
[4],sigmoid,1,0.01,512,0.5131707317073171
[4],sigmoid,1,0.001,16,0.5131707317073171
[4],sigmoid,1,0.001,32,0.4868292682926829
[4],sigmoid,1,0.001,64,0.5131707317073171
[4],sigmoid,1,0.001,128,0.5131707317073171
[4],sigmoid,1,0.001,256,0.5131707317073171
[4],sigmoid,1,0.001,512,0.4868292682926829
[4],sigmoid,1,0.0001,16,0.4868292682926829
[4],sigmoid,1,0.0001,32,0.5082926829268293
[4],sigmoid,1,0.0001,64,0.4868292682926829
[4],sigmoid,1,0.0001,128,0.5131707317073171
[4],sigmoid,1,0.0001,256,0.5131707317073171
[4],sigmoid,1,0.0001,512,0.4302439024390244
[4],sigmoid,10,10.0,16,0.5131707317073171
[4],sigmoid,10,10.0,32,0.7521951219512195
[4],sigmoid,10,10.0,64,0.5131707317073171
[4],sigmoid,10,10.0,128,0.5131707317073171
[4],sigmoid,10,10.0,256,0.7980487804878049
[4],sigmoid,10,10.0,512,0.8185365853658536
[4],sigmoid,10,1.0,16,0.855609756097561
[4],sigmoid,10,1.0,32,0.8478048780487805
