hidden_layers,activation,epochs,learning_rate,batch_size,accuracy
[32],linear,250,10.0,16,0.33658536585365856
[32],linear,250,10.0,32,0.5463414634146342
[32],linear,250,10.0,64,0.7941463414634147
[32],linear,250,10.0,128,0.5873170731707317
[32],linear,250,10.0,256,0.5092682926829268
[32],linear,250,10.0,512,0.7697560975609756
[32],linear,250,1.0,16,0.7824390243902439
[32],linear,250,1.0,32,0.8029268292682927
[32],linear,250,1.0,64,0.7687804878048781
[32],linear,250,1.0,128,0.7726829268292683
[32],linear,250,1.0,256,0.7990243902439025
[32],linear,250,1.0,512,0.8156097560975609
[32],linear,250,0.1,16,0.855609756097561
[32],linear,250,0.1,32,0.8721951219512195
[32],linear,250,0.1,64,0.864390243902439
[32],linear,250,0.1,128,0.8439024390243902
[32],linear,250,0.1,256,0.7726829268292683
[32],linear,250,0.1,512,0.8478048780487805
[32],linear,250,0.01,16,0.855609756097561
[32],linear,250,0.01,32,0.8546341463414634
[32],linear,250,0.01,64,0.8546341463414634
[32],linear,250,0.01,128,0.8526829268292683
[32],linear,250,0.01,256,0.8458536585365853
[32],linear,250,0.01,512,0.8585365853658536
[32],linear,250,0.001,16,0.8526829268292683
[32],linear,250,0.001,32,0.848780487804878
[32],linear,250,0.001,64,0.8624390243902439
[32],linear,250,0.001,128,0.8478048780487805
[32],linear,250,0.001,256,0.8439024390243902
[32],linear,250,0.001,512,0.833170731707317
[32],linear,250,0.0001,16,0.8526829268292683
[32],linear,250,0.0001,32,0.8526829268292683
[32],linear,250,0.0001,64,0.8458536585365853
[32],linear,250,0.0001,128,0.8507317073170731
[32],linear,250,0.0001,256,0.8282926829268292
[32],linear,250,0.0001,512,0.7804878048780488
[32],sigmoid,1,10.0,16,0.4868292682926829
[32],sigmoid,1,10.0,32,0.5131707317073171
[32],sigmoid,1,10.0,64,0.5131707317073171
[32],sigmoid,1,10.0,128,0.5131707317073171
[32],sigmoid,1,10.0,256,0.5131707317073171
[32],sigmoid,1,10.0,512,0.5131707317073171
[32],sigmoid,1,1.0,16,0.8390243902439024
[32],sigmoid,1,1.0,32,0.8224390243902439
[32],sigmoid,1,1.0,64,0.8439024390243902
[32],sigmoid,1,1.0,128,0.8565853658536585
[32],sigmoid,1,1.0,256,0.8009756097560976
[32],sigmoid,1,1.0,512,0.4868292682926829
[32],sigmoid,1,0.1,16,0.8663414634146341
[32],sigmoid,1,0.1,32,0.8439024390243902
[32],sigmoid,1,0.1,64,0.8546341463414634
[32],sigmoid,1,0.1,128,0.8282926829268292
[32],sigmoid,1,0.1,256,0.8263414634146341
[32],sigmoid,1,0.1,512,0.7521951219512195
[32],sigmoid,1,0.01,16,0.8429268292682927
[32],sigmoid,1,0.01,32,0.8419512195121951
[32],sigmoid,1,0.01,64,0.8009756097560976
[32],sigmoid,1,0.01,128,0.784390243902439
[32],sigmoid,1,0.01,256,0.7970731707317074
[32],sigmoid,1,0.01,512,0.6068292682926829
[32],sigmoid,1,0.001,16,0.8078048780487805
[32],sigmoid,1,0.001,32,0.7678048780487805
[32],sigmoid,1,0.001,64,0.5297560975609756
[32],sigmoid,1,0.001,128,0.5326829268292683
[32],sigmoid,1,0.001,256,0.49560975609756097
[32],sigmoid,1,0.001,512,0.47804878048780486
[32],sigmoid,1,0.0001,16,0.4917073170731707
[32],sigmoid,1,0.0001,32,0.5131707317073171
[32],sigmoid,1,0.0001,64,0.48585365853658535
[32],sigmoid,1,0.0001,128,0.4195121951219512
[32],sigmoid,1,0.0001,256,0.5658536585365853
[32],sigmoid,1,0.0001,512,0.5131707317073171
[32],sigmoid,10,10.0,16,0.4868292682926829
[32],sigmoid,10,10.0,32,0.4868292682926829
[32],sigmoid,10,10.0,64,0.4868292682926829
[32],sigmoid,10,10.0,128,0.4868292682926829
[32],sigmoid,10,10.0,256,0.4868292682926829
[32],sigmoid,10,10.0,512,0.4868292682926829
[32],sigmoid,10,1.0,16,0.8224390243902439
[32],sigmoid,10,1.0,32,0.8839024390243903
[32],sigmoid,10,1.0,64,0.8965853658536586
[32],sigmoid,10,1.0,128,0.9317073170731708
[32],sigmoid,10,1.0,256,0.871219512195122
[32],sigmoid,10,1.0,512,0.7385365853658536
[32],sigmoid,10,0.1,16,0.9960975609756098
[32],sigmoid,10,0.1,32,0.9921951219512195
[32],sigmoid,10,0.1,64,0.9639024390243902
[32],sigmoid,10,0.1,128,0.8673170731707317
[32],sigmoid,10,0.1,256,0.8721951219512195
[32],sigmoid,10,0.1,512,0.8273170731707317
[32],sigmoid,10,0.01,16,0.8721951219512195
[32],sigmoid,10,0.01,32,0.855609756097561
[32],sigmoid,10,0.01,64,0.8468292682926829
[32],sigmoid,10,0.01,128,0.848780487804878
[32],sigmoid,10,0.01,256,0.7970731707317074
[32],sigmoid,10,0.01,512,0.7668292682926829
[32],sigmoid,10,0.001,16,0.8478048780487805
[32],sigmoid,10,0.001,32,0.8497560975609756
[32],sigmoid,10,0.001,64,0.8097560975609757
[32],sigmoid,10,0.001,128,0.7785365853658537
[32],sigmoid,10,0.001,256,0.7970731707317074
[32],sigmoid,10,0.001,512,0.6741463414634147
[32],sigmoid,10,0.0001,16,0.8019512195121952
[32],sigmoid,10,0.0001,32,0.7521951219512195
[32],sigmoid,10,0.0001,64,0.6760975609756098
[32],sigmoid,10,0.0001,128,0.4868292682926829
[32],sigmoid,10,0.0001,256,0.4946341463414634
[32],sigmoid,10,0.0001,512,0.6419512195121951
[32],sigmoid,25,10.0,16,0.5131707317073171
[32],sigmoid,25,10.0,32,0.5131707317073171
[32],sigmoid,25,10.0,64,0.5131707317073171
[32],sigmoid,25,10.0,128,0.5131707317073171
[32],sigmoid,25,10.0,256,0.4868292682926829
[32],sigmoid,25,10.0,512,0.4868292682926829
[32],sigmoid,25,1.0,16,0.88
[32],sigmoid,25,1.0,32,0.9082926829268293
[32],sigmoid,25,1.0,64,0.9658536585365853
[32],sigmoid,25,1.0,128,0.9921951219512195
[32],sigmoid,25,1.0,256,0.9853658536585366
[32],sigmoid,25,1.0,512,0.9258536585365854
[32],sigmoid,25,0.1,16,0.9307317073170732
[32],sigmoid,25,0.1,32,0.9960975609756098
[32],sigmoid,25,0.1,64,1.0
[32],sigmoid,25,0.1,128,0.935609756097561
[32],sigmoid,25,0.1,256,0.8263414634146341
[32],sigmoid,25,0.1,512,0.8312195121951219
[32],sigmoid,25,0.01,16,0.9736585365853658
[32],sigmoid,25,0.01,32,0.9170731707317074
[32],sigmoid,25,0.01,64,0.8614634146341463
[32],sigmoid,25,0.01,128,0.8419512195121951
[32],sigmoid,25,0.01,256,0.8526829268292683
[32],sigmoid,25,0.01,512,0.8156097560975609
[32],sigmoid,25,0.001,16,0.8614634146341463
[32],sigmoid,25,0.001,32,0.8575609756097561
[32],sigmoid,25,0.001,64,0.8497560975609756
[32],sigmoid,25,0.001,128,0.7980487804878049
[32],sigmoid,25,0.001,256,0.8039024390243903
[32],sigmoid,25,0.001,512,0.7902439024390244
[32],sigmoid,25,0.0001,16,0.8165853658536585
[32],sigmoid,25,0.0001,32,0.8078048780487805
[32],sigmoid,25,0.0001,64,0.6858536585365854
[32],sigmoid,25,0.0001,128,0.4897560975609756
[32],sigmoid,25,0.0001,256,0.4897560975609756
[32],sigmoid,25,0.0001,512,0.48
[32],sigmoid,50,10.0,16,0.4868292682926829
[32],sigmoid,50,10.0,32,0.5131707317073171
[32],sigmoid,50,10.0,64,0.5131707317073171
[32],sigmoid,50,10.0,128,0.5131707317073171
[32],sigmoid,50,10.0,256,0.4868292682926829
[32],sigmoid,50,10.0,512,0.4868292682926829
[32],sigmoid,50,1.0,16,0.9151219512195122
[32],sigmoid,50,1.0,32,0.8780487804878049
[32],sigmoid,50,1.0,64,0.9560975609756097
[32],sigmoid,50,1.0,128,0.9639024390243902
[32],sigmoid,50,1.0,256,0.953170731707317
[32],sigmoid,50,1.0,512,0.8751219512195122
[32],sigmoid,50,0.1,16,1.0
[32],sigmoid,50,0.1,32,1.0
[32],sigmoid,50,0.1,64,1.0
[32],sigmoid,50,0.1,128,1.0
[32],sigmoid,50,0.1,256,0.8848780487804878
[32],sigmoid,50,0.1,512,0.8585365853658536
[32],sigmoid,50,0.01,16,1.0
[32],sigmoid,50,0.01,32,0.9785365853658536
[32],sigmoid,50,0.01,64,0.8917073170731707
[32],sigmoid,50,0.01,128,0.8565853658536585
[32],sigmoid,50,0.01,256,0.8370731707317073
[32],sigmoid,50,0.01,512,0.8409756097560975
[32],sigmoid,50,0.001,16,0.8585365853658536
[32],sigmoid,50,0.001,32,0.8614634146341463
[32],sigmoid,50,0.001,64,0.864390243902439
[32],sigmoid,50,0.001,128,0.8390243902439024
[32],sigmoid,50,0.001,256,0.824390243902439
[32],sigmoid,50,0.001,512,0.7658536585365854
[32],sigmoid,50,0.0001,16,0.8360975609756097
[32],sigmoid,50,0.0001,32,0.8136585365853658
[32],sigmoid,50,0.0001,64,0.833170731707317
[32],sigmoid,50,0.0001,128,0.6917073170731707
[32],sigmoid,50,0.0001,256,0.4868292682926829
[32],sigmoid,50,0.0001,512,0.4868292682926829
[32],sigmoid,100,10.0,16,0.4868292682926829
[32],sigmoid,100,10.0,32,0.5131707317073171
[32],sigmoid,100,10.0,64,0.5131707317073171
[32],sigmoid,100,10.0,128,0.5131707317073171
[32],sigmoid,100,10.0,256,0.5131707317073171
[32],sigmoid,100,10.0,512,0.5131707317073171
[32],sigmoid,100,1.0,16,0.8809756097560976
[32],sigmoid,100,1.0,32,0.8780487804878049
[32],sigmoid,100,1.0,64,0.9502439024390243
[32],sigmoid,100,1.0,128,0.92
[32],sigmoid,100,1.0,256,0.984390243902439
[32],sigmoid,100,1.0,512,0.8751219512195122
[32],sigmoid,100,0.1,16,1.0
[32],sigmoid,100,0.1,32,1.0
[32],sigmoid,100,0.1,64,1.0
[32],sigmoid,100,0.1,128,1.0
[32],sigmoid,100,0.1,256,0.9785365853658536
[32],sigmoid,100,0.1,512,0.8946341463414634
[32],sigmoid,100,0.01,16,1.0
[32],sigmoid,100,0.01,32,1.0
[32],sigmoid,100,0.01,64,0.9736585365853658
[32],sigmoid,100,0.01,128,0.8790243902439024
[32],sigmoid,100,0.01,256,0.8409756097560975
[32],sigmoid,100,0.01,512,0.8380487804878048
[32],sigmoid,100,0.001,16,0.8790243902439024
[32],sigmoid,100,0.001,32,0.8624390243902439
[32],sigmoid,100,0.001,64,0.8585365853658536
[32],sigmoid,100,0.001,128,0.8507317073170731
[32],sigmoid,100,0.001,256,0.8351219512195122
[32],sigmoid,100,0.001,512,0.8156097560975609
[32],sigmoid,100,0.0001,16,0.8604878048780488
[32],sigmoid,100,0.0001,32,0.8429268292682927
[32],sigmoid,100,0.0001,64,0.8312195121951219
[32],sigmoid,100,0.0001,128,0.8
[32],sigmoid,100,0.0001,256,0.7687804878048781
[32],sigmoid,100,0.0001,512,0.5131707317073171
[32],sigmoid,250,10.0,16,0.4868292682926829
[32],sigmoid,250,10.0,32,0.4868292682926829
[32],sigmoid,250,10.0,64,0.5131707317073171
[32],sigmoid,250,10.0,128,0.5131707317073171
[32],sigmoid,250,10.0,256,0.5131707317073171
[32],sigmoid,250,10.0,512,0.5131707317073171
[32],sigmoid,250,1.0,16,0.9034146341463415
[32],sigmoid,250,1.0,32,0.8839024390243903
[32],sigmoid,250,1.0,64,0.9336585365853659
[32],sigmoid,250,1.0,128,0.9473170731707317
[32],sigmoid,250,1.0,256,0.9151219512195122
[32],sigmoid,250,1.0,512,0.9746341463414634
[32],sigmoid,250,0.1,16,1.0
[32],sigmoid,250,0.1,32,1.0
[32],sigmoid,250,0.1,64,1.0
[32],sigmoid,250,0.1,128,1.0
[32],sigmoid,250,0.1,256,1.0
[32],sigmoid,250,0.1,512,0.9297560975609757
[32],sigmoid,250,0.01,16,1.0
[32],sigmoid,250,0.01,32,1.0
[32],sigmoid,250,0.01,64,1.0
[32],sigmoid,250,0.01,128,0.9785365853658536
[32],sigmoid,250,0.01,256,0.8936585365853659
[32],sigmoid,250,0.01,512,0.8497560975609756
[32],sigmoid,250,0.001,16,0.9668292682926829
[32],sigmoid,250,0.001,32,0.9180487804878049
[32],sigmoid,250,0.001,64,0.8575609756097561
[32],sigmoid,250,0.001,128,0.8565853658536585
[32],sigmoid,250,0.001,256,0.8546341463414634
[32],sigmoid,250,0.001,512,0.8429268292682927
[32],sigmoid,250,0.0001,16,0.855609756097561
[32],sigmoid,250,0.0001,32,0.8604878048780488
[32],sigmoid,250,0.0001,64,0.8478048780487805
[32],sigmoid,250,0.0001,128,0.8321951219512195
[32],sigmoid,250,0.0001,256,0.791219512195122
[32],sigmoid,250,0.0001,512,0.7278048780487805
[32],relu,1,10.0,16,0.455609756097561
[32],relu,1,10.0,32,0.5073170731707317
[32],relu,1,10.0,64,0.7736585365853659
[32],relu,1,10.0,128,0.7170731707317073
[32],relu,1,10.0,256,0.8087804878048781
[32],relu,1,10.0,512,0.5531707317073171
[32],relu,1,1.0,16,0.8
[32],relu,1,1.0,32,0.7668292682926829
[32],relu,1,1.0,64,0.8009756097560976
[32],relu,1,1.0,128,0.8204878048780487
[32],relu,1,1.0,256,0.817560975609756
[32],relu,1,1.0,512,0.24878048780487805
[32],relu,1,0.1,16,0.8770731707317073
[32],relu,1,0.1,32,0.8439024390243902
[32],relu,1,0.1,64,0.8663414634146341
[32],relu,1,0.1,128,0.8448780487804878
[32],relu,1,0.1,256,0.8468292682926829
[32],relu,1,0.1,512,0.8029268292682927
[32],relu,1,0.01,16,0.8819512195121951
[32],relu,1,0.01,32,0.8585365853658536
[32],relu,1,0.01,64,0.8253658536585365
[32],relu,1,0.01,128,0.8156097560975609
[32],relu,1,0.01,256,0.8029268292682927
[32],relu,1,0.01,512,0.7668292682926829
[32],relu,1,0.001,16,0.7395121951219512
[32],relu,1,0.001,32,0.7463414634146341
[32],relu,1,0.001,64,0.7521951219512195
[32],relu,1,0.001,128,0.5736585365853658
[32],relu,1,0.001,256,0.6829268292682927
[32],relu,1,0.001,512,0.5209756097560976
[32],relu,1,0.0001,16,0.5609756097560976
[32],relu,1,0.0001,32,0.568780487804878
[32],relu,1,0.0001,64,0.6858536585365854
[32],relu,1,0.0001,128,0.43121951219512195
[32],relu,1,0.0001,256,0.4741463414634146
[32],relu,1,0.0001,512,0.5141463414634146
[32],relu,10,10.0,16,0.4273170731707317
[32],relu,10,10.0,32,0.7795121951219512
[32],relu,10,10.0,64,0.5434146341463415
[32],relu,10,10.0,128,0.7726829268292683
[32],relu,10,10.0,256,0.7014634146341463
[32],relu,10,10.0,512,0.5131707317073171
[32],relu,10,1.0,16,0.7570731707317073
[32],relu,10,1.0,32,0.7717073170731708
[32],relu,10,1.0,64,0.5170731707317073
[32],relu,10,1.0,128,0.7804878048780488
[32],relu,10,1.0,256,0.5131707317073171
[32],relu,10,1.0,512,0.8478048780487805
[32],relu,10,0.1,16,0.9512195121951219
[32],relu,10,0.1,32,0.9658536585365853
[32],relu,10,0.1,64,0.9765853658536585
[32],relu,10,0.1,128,0.8917073170731707
[32],relu,10,0.1,256,0.9365853658536586
[32],relu,10,0.1,512,0.8273170731707317
[32],relu,10,0.01,16,0.9824390243902439
[32],relu,10,0.01,32,0.953170731707317
[32],relu,10,0.01,64,0.9297560975609757
[32],relu,10,0.01,128,0.8536585365853658
[32],relu,10,0.01,256,0.8429268292682927
[32],relu,10,0.01,512,0.8390243902439024
[32],relu,10,0.001,16,0.8809756097560976
[32],relu,10,0.001,32,0.8702439024390244
[32],relu,10,0.001,64,0.8458536585365853
[32],relu,10,0.001,128,0.7697560975609756
[32],relu,10,0.001,256,0.7736585365853659
[32],relu,10,0.001,512,0.6517073170731708
[32],relu,10,0.0001,16,0.775609756097561
[32],relu,10,0.0001,32,0.7551219512195122
[32],relu,10,0.0001,64,0.6682926829268293
[32],relu,10,0.0001,128,0.4321951219512195
[32],relu,10,0.0001,256,0.526829268292683
[32],relu,10,0.0001,512,0.5531707317073171
[32],relu,25,10.0,16,0.5131707317073171
[32],relu,25,10.0,32,0.7560975609756098
[32],relu,25,10.0,64,0.8117073170731708
[32],relu,25,10.0,128,0.5307317073170732
[32],relu,25,10.0,256,0.7541463414634146
[32],relu,25,10.0,512,0.7834146341463415
[32],relu,25,1.0,16,0.5131707317073171
[32],relu,25,1.0,32,0.7902439024390244
[32],relu,25,1.0,64,0.8136585365853658
[32],relu,25,1.0,128,0.8195121951219512
[32],relu,25,1.0,256,0.8351219512195122
[32],relu,25,1.0,512,0.7951219512195122
[32],relu,25,0.1,16,0.9834146341463414
[32],relu,25,0.1,32,0.9736585365853658
[32],relu,25,0.1,64,1.0
[32],relu,25,0.1,128,0.9960975609756098
[32],relu,25,0.1,256,0.9239024390243903
[32],relu,25,0.1,512,0.848780487804878
[32],relu,25,0.01,16,1.0
[32],relu,25,0.01,32,0.9863414634146341
[32],relu,25,0.01,64,0.975609756097561
[32],relu,25,0.01,128,0.9170731707317074
[32],relu,25,0.01,256,0.871219512195122
[32],relu,25,0.01,512,0.8760975609756098
[32],relu,25,0.001,16,0.9209756097560976
[32],relu,25,0.001,32,0.8917073170731707
[32],relu,25,0.001,64,0.8663414634146341
[32],relu,25,0.001,128,0.8409756097560975
[32],relu,25,0.001,256,0.8039024390243903
[32],relu,25,0.001,512,0.7902439024390244
[32],relu,25,0.0001,16,0.8360975609756097
[32],relu,25,0.0001,32,0.8214634146341463
[32],relu,25,0.0001,64,0.7775609756097561
[32],relu,25,0.0001,128,0.6985365853658536
[32],relu,25,0.0001,256,0.5024390243902439
[32],relu,25,0.0001,512,0.4721951219512195
[32],relu,50,10.0,16,0.5570731707317074
[32],relu,50,10.0,32,0.48878048780487804
[32],relu,50,10.0,64,0.5131707317073171
[32],relu,50,10.0,128,0.8302439024390244
[32],relu,50,10.0,256,0.4868292682926829
[32],relu,50,10.0,512,0.7795121951219512
[32],relu,50,1.0,16,0.8019512195121952
[32],relu,50,1.0,32,0.7619512195121951
[32],relu,50,1.0,64,0.8234146341463414
[32],relu,50,1.0,128,0.8009756097560976
[32],relu,50,1.0,256,0.7970731707317074
[32],relu,50,1.0,512,0.8321951219512195
[32],relu,50,0.1,16,0.9931707317073171
[32],relu,50,0.1,32,1.0
[32],relu,50,0.1,64,0.9960975609756098
[32],relu,50,0.1,128,1.0
[32],relu,50,0.1,256,0.9648780487804878
[32],relu,50,0.1,512,0.8273170731707317
[32],relu,50,0.01,16,1.0
[32],relu,50,0.01,32,1.0
[32],relu,50,0.01,64,0.9892682926829268
[32],relu,50,0.01,128,0.9541463414634146
[32],relu,50,0.01,256,0.9063414634146342
[32],relu,50,0.01,512,0.8565853658536585
[32],relu,50,0.001,16,0.944390243902439
[32],relu,50,0.001,32,0.9180487804878049
[32],relu,50,0.001,64,0.8897560975609756
[32],relu,50,0.001,128,0.8565853658536585
[32],relu,50,0.001,256,0.8439024390243902
[32],relu,50,0.001,512,0.7736585365853659
[32],relu,50,0.0001,16,0.8721951219512195
[32],relu,50,0.0001,32,0.8390243902439024
[32],relu,50,0.0001,64,0.8165853658536585
[32],relu,50,0.0001,128,0.688780487804878
[32],relu,50,0.0001,256,0.6019512195121951
[32],relu,50,0.0001,512,0.4575609756097561
[32],relu,100,10.0,16,0.3980487804878049
[32],relu,100,10.0,32,0.8439024390243902
[32],relu,100,10.0,64,0.6107317073170732
[32],relu,100,10.0,128,0.7970731707317074
[32],relu,100,10.0,256,0.5619512195121952
[32],relu,100,10.0,512,0.5443902439024391
[32],relu,100,1.0,16,0.5170731707317073
[32],relu,100,1.0,32,0.5131707317073171
[32],relu,100,1.0,64,0.7717073170731708
[32],relu,100,1.0,128,0.817560975609756
[32],relu,100,1.0,256,0.7463414634146341
[32],relu,100,1.0,512,0.5131707317073171
[32],relu,100,0.1,16,0.9629268292682926
[32],relu,100,0.1,32,0.9960975609756098
[32],relu,100,0.1,64,1.0
[32],relu,100,0.1,128,1.0
[32],relu,100,0.1,256,0.9912195121951219
[32],relu,100,0.1,512,0.7092682926829268
[32],relu,100,0.01,16,1.0
[32],relu,100,0.01,32,1.0
[32],relu,100,0.01,64,1.0
[32],relu,100,0.01,128,0.9931707317073171
[32],relu,100,0.01,256,0.9521951219512195
[32],relu,100,0.01,512,0.8721951219512195
[32],relu,100,0.001,16,0.9960975609756098
[32],relu,100,0.001,32,0.9765853658536585
[32],relu,100,0.001,64,0.904390243902439
[32],relu,100,0.001,128,0.8663414634146341
[32],relu,100,0.001,256,0.855609756097561
[32],relu,100,0.001,512,0.8312195121951219
[32],relu,100,0.0001,16,0.88
[32],relu,100,0.0001,32,0.8673170731707317
[32],relu,100,0.0001,64,0.833170731707317
[32],relu,100,0.0001,128,0.7814634146341464
[32],relu,100,0.0001,256,0.68
[32],relu,100,0.0001,512,0.5668292682926829
[32],relu,250,10.0,16,0.4946341463414634
[32],relu,250,10.0,32,0.5131707317073171
[32],relu,250,10.0,64,0.5365853658536586
[32],relu,250,10.0,128,0.6234146341463415
[32],relu,250,10.0,256,0.68
[32],relu,250,10.0,512,0.8009756097560976
[32],relu,250,1.0,16,0.7658536585365854
[32],relu,250,1.0,32,0.7482926829268293
[32],relu,250,1.0,64,0.7765853658536586
[32],relu,250,1.0,128,0.8380487804878048
[32],relu,250,1.0,256,0.8019512195121952
[32],relu,250,1.0,512,0.806829268292683
[32],relu,250,0.1,16,0.8897560975609756
[32],relu,250,0.1,32,1.0
[32],relu,250,0.1,64,1.0
[32],relu,250,0.1,128,1.0
[32],relu,250,0.1,256,1.0
[32],relu,250,0.1,512,0.9190243902439025
[32],relu,250,0.01,16,1.0
[32],relu,250,0.01,32,1.0
[32],relu,250,0.01,64,1.0
[32],relu,250,0.01,128,1.0
[32],relu,250,0.01,256,0.9512195121951219
[32],relu,250,0.01,512,0.9317073170731708
[32],relu,250,0.001,16,1.0
[32],relu,250,0.001,32,1.0
[32],relu,250,0.001,64,0.9775609756097561
[32],relu,250,0.001,128,0.9102439024390244
[32],relu,250,0.001,256,0.8829268292682927
[32],relu,250,0.001,512,0.8692682926829268
[32],relu,250,0.0001,16,0.9102439024390244
[32],relu,250,0.0001,32,0.8936585365853659
[32],relu,250,0.0001,64,0.864390243902439
[32],relu,250,0.0001,128,0.855609756097561
[32],relu,250,0.0001,256,0.8224390243902439
[32],relu,250,0.0001,512,0.7639024390243903
[32],softmax,1,10.0,16,0.6907317073170731
[32],softmax,1,10.0,32,0.8185365853658536
[32],softmax,1,10.0,64,0.6829268292682927
[32],softmax,1,10.0,128,0.568780487804878
[32],softmax,1,10.0,256,0.7014634146341463
[32],softmax,1,10.0,512,0.7834146341463415
[32],softmax,1,1.0,16,0.728780487804878
[32],softmax,1,1.0,32,0.8360975609756097
[32],softmax,1,1.0,64,0.8458536585365853
[32],softmax,1,1.0,128,0.8760975609756098
[32],softmax,1,1.0,256,0.833170731707317
[32],softmax,1,1.0,512,0.8136585365853658
[32],softmax,1,0.1,16,0.92
[32],softmax,1,0.1,32,0.9053658536585366
[32],softmax,1,0.1,64,0.88
[32],softmax,1,0.1,128,0.8565853658536585
[32],softmax,1,0.1,256,0.8292682926829268
[32],softmax,1,0.1,512,0.8302439024390244
[32],softmax,1,0.01,16,0.833170731707317
[32],softmax,1,0.01,32,0.824390243902439
[32],softmax,1,0.01,64,0.8390243902439024
[32],softmax,1,0.01,128,0.6780487804878049
[32],softmax,1,0.01,256,0.4868292682926829
[32],softmax,1,0.01,512,0.4868292682926829
[32],softmax,1,0.001,16,0.4868292682926829
[32],softmax,1,0.001,32,0.5024390243902439
[32],softmax,1,0.001,64,0.526829268292683
[32],softmax,1,0.001,128,0.5668292682926829
[32],softmax,1,0.001,256,0.5131707317073171
[32],softmax,1,0.001,512,0.5131707317073171
[32],softmax,1,0.0001,16,0.4868292682926829
[32],softmax,1,0.0001,32,0.5034146341463415
[32],softmax,1,0.0001,64,0.5131707317073171
[32],softmax,1,0.0001,128,0.4868292682926829
[32],softmax,1,0.0001,256,0.5131707317073171
[32],softmax,1,0.0001,512,0.5131707317073171
[32],softmax,10,10.0,16,0.5131707317073171
[32],softmax,10,10.0,32,0.5131707317073171
[32],softmax,10,10.0,64,0.6926829268292682
[32],softmax,10,10.0,128,0.775609756097561
[32],softmax,10,10.0,256,0.7834146341463415
[32],softmax,10,10.0,512,0.7385365853658536
[32],softmax,10,1.0,16,0.8409756097560975
[32],softmax,10,1.0,32,0.8409756097560975
[32],softmax,10,1.0,64,0.8370731707317073
[32],softmax,10,1.0,128,0.9004878048780488
[32],softmax,10,1.0,256,0.911219512195122
[32],softmax,10,1.0,512,0.8985365853658537
[32],softmax,10,0.1,16,0.9619512195121951
[32],softmax,10,0.1,32,0.9863414634146341
[32],softmax,10,0.1,64,0.9795121951219512
[32],softmax,10,0.1,128,0.9346341463414635
[32],softmax,10,0.1,256,0.9512195121951219
[32],softmax,10,0.1,512,0.8604878048780488
[32],softmax,10,0.01,16,0.9629268292682926
[32],softmax,10,0.01,32,0.9365853658536586
[32],softmax,10,0.01,64,0.8995121951219512
[32],softmax,10,0.01,128,0.8595121951219512
[32],softmax,10,0.01,256,0.8478048780487805
[32],softmax,10,0.01,512,0.7902439024390244
[32],softmax,10,0.001,16,0.8536585365853658
[32],softmax,10,0.001,32,0.8302439024390244
[32],softmax,10,0.001,64,0.8312195121951219
[32],softmax,10,0.001,128,0.7746341463414634
[32],softmax,10,0.001,256,0.728780487804878
[32],softmax,10,0.001,512,0.6048780487804878
[32],softmax,10,0.0001,16,0.5131707317073171
[32],softmax,10,0.0001,32,0.4868292682926829
[32],softmax,10,0.0001,64,0.4868292682926829
[32],softmax,10,0.0001,128,0.4868292682926829
[32],softmax,10,0.0001,256,0.5131707317073171
[32],softmax,10,0.0001,512,0.5834146341463414
[32],softmax,25,10.0,16,0.7219512195121951
[32],softmax,25,10.0,32,0.7180487804878048
[32],softmax,25,10.0,64,0.7804878048780488
[32],softmax,25,10.0,128,0.8282926829268292
[32],softmax,25,10.0,256,0.7834146341463415
[32],softmax,25,10.0,512,0.6263414634146341
[32],softmax,25,1.0,16,0.8731707317073171
[32],softmax,25,1.0,32,0.8419512195121951
[32],softmax,25,1.0,64,0.8682926829268293
[32],softmax,25,1.0,128,0.8829268292682927
[32],softmax,25,1.0,256,0.7853658536585366
[32],softmax,25,1.0,512,0.9024390243902439
[32],softmax,25,0.1,16,0.9560975609756097
[32],softmax,25,0.1,32,0.9697560975609756
[32],softmax,25,0.1,64,0.9765853658536585
[32],softmax,25,0.1,128,0.9863414634146341
[32],softmax,25,0.1,256,0.9668292682926829
[32],softmax,25,0.1,512,0.8926829268292683
[32],softmax,25,0.01,16,0.984390243902439
[32],softmax,25,0.01,32,0.9804878048780488
[32],softmax,25,0.01,64,0.9473170731707317
[32],softmax,25,0.01,128,0.9034146341463415
[32],softmax,25,0.01,256,0.8682926829268293
[32],softmax,25,0.01,512,0.8497560975609756
[32],softmax,25,0.001,16,0.8878048780487805
[32],softmax,25,0.001,32,0.8790243902439024
[32],softmax,25,0.001,64,0.8419512195121951
[32],softmax,25,0.001,128,0.8263414634146341
[32],softmax,25,0.001,256,0.824390243902439
[32],softmax,25,0.001,512,0.6390243902439025
[32],softmax,25,0.0001,16,0.8370731707317073
[32],softmax,25,0.0001,32,0.6175609756097561
[32],softmax,25,0.0001,64,0.5756097560975609
[32],softmax,25,0.0001,128,0.4868292682926829
[32],softmax,25,0.0001,256,0.5131707317073171
[32],softmax,25,0.0001,512,0.5131707317073171
[32],softmax,50,10.0,16,0.7765853658536586
[32],softmax,50,10.0,32,0.6965853658536585
[32],softmax,50,10.0,64,0.6292682926829268
[32],softmax,50,10.0,128,0.7326829268292683
[32],softmax,50,10.0,256,0.5102439024390244
[32],softmax,50,10.0,512,0.7707317073170732
[32],softmax,50,1.0,16,0.8312195121951219
